size,3
"(((0, 1), (2, 1), False), 'South')",0.480627456
"(((2, 1), (1, 0), True), 'North')",0.396
"(((0, 2), (2, 1), True), 'North')",0
"(((1, 0), (0, 2), True), 'West')",0
"(((0, 0), (1, 2), True), 'Stay')",0.296
"(((1, 2), (1, 0), True), 'North')",0
"(((2, 0), None, False), 'North')",-0.84
"(((1, 2), (0, 1), False), 'East')",0
"(((2, 1), (2, 2), False), 'East')",0
"(((2, 1), (2, 0), True), 'South')",0
"(((1, 1), (2, 2), True), 'East')",0
"(((0, 0), (0, 1), True), 'Stay')",0
"(((0, 0), (1, 0), True), 'Stay')",0
"(((0, 2), (2, 2), True), 'South')",0.396
"(((1, 0), (1, 2), True), 'East')",0.3
"(((2, 0), (2, 1), True), 'Stay')",0
"(((0, 2), (0, 1), True), 'South')",0
"(((2, 2), (0, 1), True), 'South')",0.7474836479999999
"(((2, 2), (0, 0), False), 'West')",1.2716863776768004
"(((2, 1), (0, 1), False), 'West')",0
"(((0, 2), (1, 0), True), 'South')",0
"(((0, 1), (1, 1), True), 'North')",0
"(((2, 0), (1, 0), False), 'Stay')",0
"(((0, 2), (0, 0), True), 'East')",1.9898148438835204
"(((2, 2), (0, 1), False), 'South')",0
"(((0, 2), (2, 0), True), 'Stay')",0.8379005679932551
"(((0, 1), (0, 0), False), 'Stay')",3.5760122880000003
"(((0, 2), (1, 1), False), 'North')",0
"(((0, 1), (1, 1), True), 'South')",0
"(((2, 2), (2, 1), True), 'Stay')",0.6
"(((2, 2), (2, 0), True), 'North')",0
"(((2, 1), (2, 2), True), 'Stay')",0
"(((0, 1), (1, 1), True), 'East')",0
"(((1, 2), (2, 2), True), 'Stay')",0.84
"(((0, 2), (0, 1), False), 'North')",0
"(((2, 0), (2, 2), False), 'Stay')",0
"(((1, 1), (1, 0), True), 'West')",0
"(((1, 0), (2, 0), False), 'Stay')",0
"(((2, 1), None, False), 'North')",-1.28928
"(((2, 1), (1, 1), False), 'North')",1.7262208514457602
"(((0, 1), (2, 0), False), 'South')",0.3439999999999999
"(((2, 1), (0, 2), True), 'East')",0
"(((1, 2), (1, 0), True), 'Stay')",0
"(((2, 1), (2, 2), False), 'North')",0.6
"(((2, 0), (0, 1), False), 'East')",0
"(((2, 0), None, False), 'East')",0
"(((2, 2), None, False), 'Stay')",0
"(((2, 0), (1, 2), False), 'Stay')",0
"(((0, 1), None, False), 'East')",-0.1773866508288
"(((1, 2), None, True), 'Pick')",0.45713000742912013
"(((1, 1), (0, 0), False), 'North')",0.5256384
"(((1, 2), (1, 1), False), 'West')",0
"(((1, 1), (0, 1), False), 'South')",0
"(((1, 2), (2, 0), True), 'Stay')",0.376
"(((1, 0), (2, 1), False), 'West')",0
"(((2, 2), (0, 2), False), 'South')",0
"(((1, 2), (0, 1), False), 'Stay')",0.80784
"(((2, 2), (1, 1), False), 'West')",0.588
"(((1, 1), (0, 0), False), 'Stay')",0
"(((2, 0), (1, 0), True), 'East')",0
"(((1, 0), (2, 2), True), 'West')",0
"(((2, 2), (0, 2), False), 'North')",0
"(((1, 0), (1, 2), False), 'West')",0
"(((2, 2), (0, 0), True), 'East')",0
"(((2, 0), (1, 2), False), 'East')",0
"(((2, 1), None, True), 'Pick')",-0.2869506430402559
"(((2, 1), (1, 1), False), 'South')",2.012436970071069
"(((1, 2), (0, 2), True), 'West')",0.6
"(((0, 0), (2, 0), False), 'North')",1.2122367293178793
"(((0, 1), (2, 2), False), 'Stay')",0
"(((1, 2), (2, 2), True), 'West')",0
"(((2, 0), (0, 2), False), 'North')",0
"(((0, 1), (1, 0), False), 'North')",0
"(((2, 2), (1, 2), False), 'West')",0
